ch1,ch2,ch3,ch4,ch5,ch6,ch7,ch8,ch9,ch10,ch11,ch12,ch13,ch14,ch15,ch16
246.49,338.92,435.75,316.91,259.69,299.31,435.75,519.38,316.91,-13.2,-132.05,0.0,396.14,198.07,-752.67,136.45
149.65,338.92,215.68,198.07,17.61,-52.82,198.07,259.69,118.84,-171.66,-272.9,-211.28,259.69,136.45,-611.82,316.91
26.41,299.31,17.61,57.22,-110.04,-352.13,0.0,-22.01,-22.01,-352.13,-453.36,-413.75,79.23,79.23,-572.2,536.99
-52.82,136.45,-52.82,-13.2,-312.51,-510.58,-110.04,-132.05,-52.82,-572.2,-651.43,-550.2,-13.2,0.0,-633.83,655.83
-110.04,-13.2,-110.04,-52.82,-572.2,-633.83,-250.89,-193.67,-110.04,-691.05,-770.27,-713.05,-154.05,-110.04,-673.44,479.77
-30.81,-110.04,-193.67,-110.04,-770.27,-673.44,-413.75,-290.5,-211.28,-673.44,-713.05,-862.71,-352.13,-312.51,-611.82,96.83
26.41,-70.43,-290.5,-132.05,-743.86,-611.82,-484.17,-391.74,-272.9,-550.2,-594.21,-981.55,-492.98,-391.74,-470.97,-92.43
48.42,-22.01,-233.28,-92.43,-523.79,-431.35,-360.93,-312.51,-233.28,-413.75,-413.75,-862.71,-470.97,-272.9,-272.9,-13.2
66.02,136.45,17.61,17.61,-123.24,-44.02,17.61,-22.01,-83.63,-154.05,-92.43,-413.75,-242.09,-61.62,-22.01,189.27
189.27,356.53,215.68,17.61,347.72,497.38,448.96,176.06,-70.43,299.31,396.14,206.87,-61.62,-30.81,418.15,198.07
409.35,519.38,426.95,26.41,875.91,1109.19,897.92,409.35,0.0,889.12,999.15,928.73,79.23,-61.62,787.88,26.41
589.81,576.6,616.22,176.06,1228.04,1478.93,1228.04,669.04,79.23,1236.84,1338.08,1527.34,369.73,-22.01,919.93,-52.82
647.03,576.6,818.69,418.15,1338.08,1619.78,1518.54,906.72,316.91,1267.65,1329.27,1897.07,647.03,198.07,779.08,17.61
629.42,536.99,779.08,519.38,1228.04,1456.92,1588.96,946.34,435.75,1038.77,1016.76,2007.11,809.89,369.73,396.14,57.22
448.96,409.35,638.23,497.38,1056.38,1069.58,1338.08,779.08,457.76,669.04,616.22,1756.22,779.08,426.95,8.8,215.68
246.49,127.65,488.57,435.75,809.89,497.38,836.3,616.22,479.77,268.5,167.26,1206.03,699.85,497.38,-281.7,426.95
88.03,-202.47,215.68,378.53,519.38,-13.2,338.92,316.91,435.75,-13.2,-70.43,576.6,536.99,567.8,-422.55,717.45
8.8,-492.98,-92.43,277.3,286.1,-272.9,-22.01,-44.02,277.3,-154.05,-272.9,88.03,246.49,448.96,-431.35,818.69
